simulated_personas_10000-2
PersonaID,Area,UrbanRural,Gender,AgeGroup,TopFlavor1,TopFlavor2,TopFlavor3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,A4,Urban,Female,18-25,Arctic Peppermint,Smart Mint,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,A2,Urban,Male,26-40,Cinnamon,Mango Flame,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A4,Rural,Female,26-40,Coco,Smart Mint,Bright Spearmint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A4,Rural,Female,26-40,Minty Lemon,Crispy Peppermint,Fresh Classic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A4,Urban,Male,18-25,Icy Berries,Tropical Mango,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A1,Urban,Female,18-25,Mango Flame,Arctic Peppermint,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A2,Rural,Male,18-25,Minty Lemon,Zesty Orange,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,A4,Urban,Female,41,Mango Flame,Fresh Classic,Tangy Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A3,Rural,Male,26-40,Strawberry Ice,Minty Watermelon,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A2,Urban,Male,18-25,Peppermint,Crispy Peppermint,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A2,Rural,Female,26-40,Citrus Burst,Arctic Peppermint,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A1,Rural,Female,18-25,Zesty Lime,Tropical Ice,Black Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A1,Urban,Female,18-25,Minty Watermelon,Berry Ice,Tropical Mango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A1,Rural,Female,41,Bright Spearmint,Smart Mint,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A4,Rural,Male,26-40,Zesty Orange,Crispy Peppermint,Coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A2,Urban,Male,26-40,Bright Spearmint,Cinnamon,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A1,Rural,Female,41,Mango Flame,Zesty Orange,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A2,Urban,Male,41,Creamy Latte,Purple Grape,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A2,Rural,Female,41,Citrus Burst,Minty Lemon,Coco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A1,Urban,Male,18-25,Strawberry Ice,Arctic Peppermint,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A1,Urban,Male,26-40,Mango Flame,Berry Ice,Strawberry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A3,Urban,Female,26-40,Strawberry Ice,Wintergreen,Peppermint Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A3,Rural,Male,26-40,Minty Watermelon,Purple Grape,Tropical Punch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A4,Urban,Male,26-40,Zesty Orange,Arctic Peppermint,Mango Flame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A1,Urban,Male,26-40,Cinnamon,Coffee,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,A2,Rural,Female,26-40,Melon Fresh,Fresh Classic,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,A2,Urban,Female,26-40,Bright Spearmint,Coffee,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,A2,Urban,Female,26-40,Fresh Classic,Black Cherry,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,A4,Urban,Male,26-40,Zesty Lime,Citrus Burst,Ruby Berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,A4,Rural,Female,26-40,Melon Fresh,Tropical Ice,Strawberry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,A4,Rural,Female,18-25,Peppermint Storm,Tropical Mango,Purple Grape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,A4,Rural,Male,18-25,Tropical Mango,Coffee,Strawberry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,A2,Rural,Male,26-40,Arctic Peppermint,Tropical Punch,Minty Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,A3,Urban,Female,41,Strawberry Ice,Peppermint,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,A4,Rural,Male,26-40,Smart Mint,Minty Lemon,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,A4,Rural,Male,18-25,Zesty Orange,Tangy Lime,Minty Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,A3,Urban,Male,18-25,Tangy Lime,Strawberry Ice,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,A4,Rural,Male,26-40,Mango Flame,Smart Mint,Tropical Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,A4,Rural,Male,41,Citrus Burst,Smart Mint,Crispy Peppermint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,A2,Urban,Male,18-25,Minty Watermelon,Zesty Lime,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,A2,Urban,Male,18-25,Zesty Orange,Crispy Peppermint,Berry Ice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,A2,Urban,Female,26-40,Zesty Orange,Tropical Punch,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,A4,Urban,Male,41,Mango Flame,Citrus Burst,Smart Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,A2,Urban,Female,18-25,Cinnamon Flame,Smart Mint,Zesty Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,A3,Rural,Male,18-25,Tangy Lime,Purple Grape,Zesty Lime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,A2,Rural,Male,18-25,Arctic Peppermint,Peppermint,Melon Fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
